Sta node#      distance        timerx      timeidle        timetx      timesleep      totenergy
0         33.7375         6.51016         23.4617         0.792         89.7519         +137.57847044920001167156
1         17.2981         4.19704         12.7675         0.4236         94.4819         +77.69390865000001156204
2         26.8798         6.13316         22.5576         0.75         90.4799         +131.63925336440001956362
3         37.4362         6.70976         20.1469         1.4994         88.1706         +128.96519734280002467130
4         45.6323         9.3506         30.1789         1.9836         82.6653         +188.21163777720002485694
5         24.4584         5.45452         18.6632         0.7554         91.6517         +111.55691097720000470872
6         49.4448         7.02904         27.6764         1.0536         88.417         +160.29004389759998616682
7         31.5883         4.76632         17.9954         0.50684         93.1908         +103.80075275880000162942
8         25.3349         4.89904         15.8659         0.4794         93.088         +94.81721737080000877995
9         41.4664         4.11496         12.2573         0.3954         94.7058         +74.88467112200000030953
10         28.662         6.5612         24.8234         0.8124         89.6104         +143.94138461200000733697
11         43.4818         4.57164         15.1949         0.5112         93.6733         +90.65344132640001362233
12         10.0502         4.97864         16.7504         0.4986         93.0304         +99.19760893280002278516
13         24.788         4.82228         18.0382         0.6324         93.0336         +105.13960287439999774506
14         39.4512         10.4389         31.66         2.6646         79.3531         +204.42021000480002612676
15         24.9932         4.74772         17.9389         0.618         93.2232         +104.27079045360000009168
16         44.3417         4.7228         15.4983         0.468         93.5855         +92.34236375240001848397
17         17.192         6.99756         20.3179         0.717         88.7067         +125.35064042720001964426
18         44.9268         8.50676         29.1761         1.4574         85.202         +176.29791499600000292958
19         41.5302         5.84544         19.2822         0.6516         90.9749         +115.25327293680000195764
20         19.1848         5.30012         18.4671         0.579         92.337         +108.74448064680001380111
21         47.7565         14.1282         27.8755         3.1698         71.6958         +207.63892124600002375700
22         47.9845         9.11192         29.833         1.7676         83.6321         +184.08418093400001680493
23         31.1189         13.0923         26.2433         2.1552         75.3573         +188.59406382560001702586
24         42.7198         4.97404         15.4977         0.456         93.0281         +93.35901553959999432664
25         48.0854         7.3004         20.5216         0.7572         88.2808         +127.86876150600002688407
26         10.2653         10.0091         31.0286         2.5764         80.739         +199.11603910760001667768
27         24.1852         5.1002         12.632         0.4176         92.8298         +81.02858020640000802359
28         12.8512         4.84244         16.2671         0.486         93.3427         +96.38098457360000281824
29         32.136         12.5864         25.825         2.073         76.3632         +183.93540646440001751216
30         11.481         6.18228         24.6732         0.8316         90.2567         +141.75165907760001005045
31         44.6432         4.96804         13.4807         0.4164         93.1181         +84.17236811360000103832
