Sta node#      distance        timerx      timeidle        timetx      timesleep      totenergy
0         33.7375         9.97472         12.0645         0.7914         79.1059         +102.67049221800000680105
1         17.2981         4.446         2.89894         0.4038         94.1682         +35.22509456560000273839
2         26.8798         9.07292         10.9621         0.7044         81.1914         +93.22568181719999813595
3         37.4362         7.42052         6.006         1.4844         87.0103         +69.76438041240000131893
4         45.6323         17.6012         24.1986         1.911         58.1663         +197.67808195120002778822
5         24.4584         5.56024         3.98117         0.7008         91.6729         +47.02797056920000784430
6         49.4448         11.3378         15.1972         0.9804         74.3361         +123.81292504280001764982
7         31.5883         5.21488         3.68811         0.49184         92.4571         +42.71440038320000809335
8         25.3349         6.68216         7.35055         0.45         87.3325         +64.98390361919999236306
9         41.4664         4.43668         2.92326         0.3864         94.1721         +35.16582343160000334592
10         28.662         9.54144         11.4445         0.7608         80.1265         +97.81575013559999831614
11         43.4818         4.93844         3.41244         0.4872         93.0801         +40.25171266440000295006
12         10.0502         7.24972         7.99562         0.4986         86.1361         +70.66940423440001950439
13         24.788         5.0648         3.56983         0.6         92.6807         +42.31236377640000512201
14         39.4512         19.9851         27.5646         2.5584         51.6867         +227.63929509760001224094
15         24.9932         5.21108         3.65685         0.6186         92.4341         +43.47281643080000890222
16         44.3417         6.35136         5.9498         0.3918         89.1684         +56.94608190799999647424
17         17.192         7.23324         5.46451         0.6696         88.5065         +60.69123716440000748662
18         44.9268         15.0333         17.2963         1.3068         68.2232         +151.65916579440002465162
19         41.5302         6.4858         4.73751         0.6198         90.0095         +53.84513614400000847127
20         19.1848         7.55684         7.51155         0.4902         86.3526         +69.83036093239999786420
21         47.7565         15.6401         13.8835         2.8062         69.6536         +150.10839745600000583181
22         47.9845         16.9699         19.6304         1.6182         63.6332         +172.69222286080000117181
23         31.1189         15.0768         12.9657         2.1096         71.8115         +138.57643817720000356530
24         42.7198         6.61944         6.18641         0.3978         88.6442         +59.20987846200000603858
25         48.0854         7.43768         5.52803         0.6996         88.2898         +62.08626276160001111748
26         10.2653         20.3038         23.6886         2.4594         55.3962         +211.27436048080002706229
27         24.1852         5.40664         3.72893         0.3828         92.4114         +42.95268006480000622105
28         12.8512         6.8924         6.74638         0.4224         87.8535         +63.05191885520000738552
29         32.136         14.2278         12.183         2.0196         73.5082         +130.74863320200000771365
30         11.481         9.66716         10.4837         0.708         80.956         +93.76143250120000516290
31         44.6432         5.64372         3.9928         0.417         91.8684         +45.40308255280000793164
