Sta node#      distance        timerx      timeidle        timetx      timesleep      totenergy
0         134.95         0         0         0         0         +0.0
1         69.1922         0         0         0         0         +0.0
2         107.519         0         0         0         0         +0.0
3         149.745         0         0         0         0         +0.0
4         182.529         0         0         0         0         +0.0
5         97.8334         0         0         0         0         +0.0
6         197.779         0         0         0         0         +0.0
7         126.353         0         0         0         0         +0.0
8         101.34         0         0         0         0         +0.0
9         165.866         0         0         0         0         +0.0
10         114.648         0         0         0         0         +0.0
11         173.927         0         0         0         0         +0.0
12         40.2007         0         0         0         0         +0.0
13         99.1521         0         0         0         0         +0.0
14         157.805         0         0         0         0         +0.0
15         99.973         0         0         0         0         +0.0
16         177.367         0         0         0         0         +0.0
17         68.768         0         0         0         0         +0.0
18         179.707         0         0         0         0         +0.0
19         166.121         0         0         0         0         +0.0
20         76.739         0         0         0         0         +0.0
21         191.026         0         0         0         0         +0.0
22         191.938         0         0         0         0         +0.0
23         124.476         0         0         0         0         +0.0
24         170.879         0         0         0         0         +0.0
25         192.342         0         0         0         0         +0.0
26         41.0614         0         0         0         0         +0.0
27         96.7407         0         0         0         0         +0.0
28         51.4049         0         0         0         0         +0.0
29         128.544         0         0         0         0         +0.0
30         45.9241         0         0         0         0         +0.0
31         178.573         0         0         0         0         +0.0
