seed,NumSta,traffic,NRawGroups,NumSlot
1,64,0.75,1,2
1,64,0.75,2,2
1,64,0.75,4,2
1,64,0.75,8,2
1,64,0.75,16,2
1,64,0.85,1,2
1,64,0.85,2,2
1,64,0.85,4,2
1,64,0.85,8,2
1,64,0.85,16,2
1,64,1.2,1,2
1,64,1.2,2,2
1,64,1.2,4,2
1,64,1.2,8,2
1,64,1.2,16,2
1,128,0.75,1,2
1,128,0.75,2,2
1,128,0.75,4,2
1,128,0.75,8,2
1,128,0.75,16,2
1,128,0.85,1,2
1,128,0.85,2,2
1,128,0.85,4,2
1,128,0.85,8,2
1,128,0.85,16,2
1,128,1.2,1,2
1,128,1.2,2,2
1,128,1.2,4,2
1,128,1.2,8,2
1,128,1.2,16,2
1,256,0.75,1,2
1,256,0.75,2,2
1,256,0.75,4,2
1,256,0.75,8,2
1,256,0.75,16,2
1,256,0.85,1,2
1,256,0.85,2,2
1,256,0.85,4,2
1,256,0.85,8,2
1,256,0.85,16,2
1,256,1.2,1,2
1,256,1.2,2,2
1,256,1.2,4,2
1,256,1.2,8,2
1,256,1.2,16,2
1,512,0.75,1,2
1,512,0.75,2,2
1,512,0.75,4,2
1,512,0.75,8,2
1,512,0.75,16,2
1,512,0.85,1,2
1,512,0.85,2,2
1,512,0.85,4,2
1,512,0.85,8,2
1,512,0.85,16,2
1,512,1.2,1,2
1,512,1.2,2,2
1,512,1.2,4,2
1,512,1.2,8,2
1,512,1.2,16,2
1,1024,0.75,1,2
1,1024,0.75,2,2
1,1024,0.75,4,2
1,1024,0.75,8,2
1,1024,0.75,16,2
1,1024,0.85,1,2
1,1024,0.85,2,2
1,1024,0.85,4,2
1,1024,0.85,8,2
1,1024,0.85,16,2
1,1024,1.2,1,2
1,1024,1.2,2,2
1,1024,1.2,4,2
1,1024,1.2,8,2
1,1024,1.2,16,2
